p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.1642724294817257,0.597,0.166,0,1,STK4
0,3.1642024265970177,0.13,0.027,0,1,GPRIN3
0,3.140396291217148,0.214,0.029,0,1,HOPX
0,3.1275185392009437,0.389,0.06,0,1,LSP1
0,3.107750234673166,0.932,0.219,0,1,HLA-C
0,3.098809345729488,0.268,0.05,0,1,TNFRSF1B
0,3.09487550579408,0.945,0.295,0,1,HLA-A
0,3.0864170871602137,0.261,0.057,0,1,RHOF
0,3.084920694567625,0.28,0.043,0,1,HCLS1
0,3.084012159906721,0.19,0.045,0,1,FKBP11
0,3.0832626822135136,0.121,0.015,0,1,SP140
0,3.0806644611535834,0.272,0.049,0,1,TNFAIP8
0,3.0779449820837708,0.136,0.029,0,1,FAM102A
0,3.070343410070503,0.193,0.029,0,1,WAS
0,3.0611549067709176,0.136,0.027,0,1,APOBEC3C
0,3.054698104684396,0.245,0.039,0,1,EVI2B
0,3.034505924270802,0.192,0.067,0,1,DUSP4
0,3.03164299388543,0.942,0.211,0,1,HLA-B
0,3.0307087138271163,0.183,0.034,0,1,IL10RA
0,3.0301990032572275,0.152,0.023,0,1,ADA
0,3.026909489469333,0.255,0.038,0,1,RIPOR2
0,3.0259933427114225,0.59,0.222,0,1,LEPROTL1
0,3.021367979550563,0.379,0.08,0,1,PSMB8
0,3.0153816428747526,0.162,0.028,0,1,TMC6
0,3.0087931208610375,0.166,0.017,0,1,FCMR
0,3.0074752562891307,0.375,0.055,0,1,CD53
0,3.0012688315422755,0.161,0.015,0,1,GZMB
0,2.986109267678408,0.214,0.081,0,1,LYAR
0,2.955904627439289,0.394,0.101,0,1,CIB1
0,2.912428229704942,0.189,0.05,0,1,MT1X
0,2.9026816873138133,0.132,0.031,0,1,DUSP5
0,2.901147288961623,0.409,0.058,0,1,BIRC3
0,2.8800705812547127,0.211,0.044,0,1,GLIPR1
0,2.8794022058729274,0.463,0.078,0,1,EMP3
0,2.8770296224230303,0.418,0.131,0,1,ABRACL
0,2.8761384822512763,0.458,0.086,0,1,SLC2A3
0,2.8723229258025658,0.264,0.084,0,1,RESF1
0,2.868997761776123,0.379,0.105,0,1,CRIP1
2.0975959980460327e-292,2.862489645732107,0.153,0.045,8.778439251822646e-288,1,ORAI1
