p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,6.258199727440553,0.644,0.005,0,10,CYP26B1
0,5.255949685922489,0.668,0.019,0,10,POU3F1
0,5.194707449305036,0.393,0.008,0,10,NPFF
0,4.559873159900682,0.334,0.007,0,10,HCRT
0,4.445378414855358,0.221,0.004,0,10,PCDHB7
0,4.3179343401982315,0.595,0.019,0,10,AC004057.1
0,4.251371287929539,0.31,0.004,0,10,CDH22
0,4.056551402260265,0.236,0.006,0,10,POU4F2
0,4.053033369111748,0.3,0.009,0,10,CCER2
0,3.733699339565981,0.934,0.141,0,10,HMX1
0,3.5575136575202357,0.222,0.008,0,10,AC083837.1
0,3.4725453419076358,0.75,0.054,0,10,INSM2
0,3.4314144459023472,0.241,0.012,0,10,AC040160.1
0,3.426715258083988,0.76,0.061,0,10,INSM1
0,3.4149181761514225,0.247,0.009,0,10,ADGRA1
0,3.4090543533263,0.564,0.04,0,10,SCX
0,3.4077339333075582,0.326,0.013,0,10,IGDCC3
0,3.3432140448320444,0.286,0.017,0,10,AC008443.1
0,3.323615711616165,0.584,0.032,0,10,SYT13
0,3.2945199555040543,0.216,0.003,0,10,TACSTD2
0,3.278938437255549,0.422,0.019,0,10,ENO3
0,3.2482801268953003,0.374,0.023,0,10,GOLGA2P7
0,3.2278839485799997,0.472,0.026,0,10,FAM163B
0,3.2191570410192885,0.251,0.016,0,10,AC098934.1
0,3.2077368138741638,0.255,0.011,0,10,PTGER1
0,3.1810029378945153,0.264,0.009,0,10,CIDEB
0,3.1775280811697093,0.25,0.009,0,10,AC004556.3
0,3.1761108453021305,0.639,0.049,0,10,FAM89A
0,3.1622926331937533,0.492,0.024,0,10,FNDC5
0,3.156314926717968,0.494,0.03,0,10,ZNF208
0,3.1134337133119807,0.426,0.032,0,10,AC002316.1
0,3.0418337760975485,0.225,0.008,0,10,FZD8
0,2.999328006871686,0.549,0.036,0,10,LINC02308
0,2.993366876759086,0.507,0.036,0,10,PCDHB10
0,2.965134053857149,0.274,0.018,0,10,RTN4RL2
0,2.9408594144732687,0.297,0.017,0,10,PAX8-AS1
0,2.940013713464007,0.525,0.031,0,10,C2CD4B
0,2.9397621257897866,0.366,0.024,0,10,AC115282.1
0,2.9347525898010813,0.232,0.013,0,10,CREG2
0,2.9135319100564443,0.384,0.028,0,10,PCDHB2
0,2.906238190970496,0.425,0.03,0,10,NSUN5P1
0,2.8896480025549645,0.728,0.052,0,10,ZFHX4
0,2.7728805039667694,0.541,0.074,0,10,KNSTRN
0,2.76113377443802,0.444,0.04,0,10,WASH3P
0,2.7605859286580445,0.325,0.027,0,10,HPDL
0,2.7584548067980017,0.322,0.021,0,10,LINC01535
0,2.7570328407296225,0.313,0.021,0,10,PCDHB16
0,2.729301706717945,0.97,0.271,0,10,PHOX2A
0,2.717471380630328,0.33,0.019,0,10,KLHL17
0,2.6998103171958165,0.663,0.072,0,10,KCNK3
0,2.6983811625802274,0.422,0.031,0,10,PERP
0,2.6848495804918544,0.352,0.028,0,10,NSUN5P2
0,2.684724175764764,0.422,0.036,0,10,ZNF826P
0,2.6641454172903303,0.394,0.038,0,10,PCDHB6
0,2.662998501550028,0.604,0.058,0,10,GPRIN1
0,2.639311560762067,0.29,0.025,0,10,GAREM2
0,2.6302140586034883,0.297,0.028,0,10,ZNF727
0,2.5710161418363997,0.73,0.086,0,10,PGAM2
0,2.570368603968736,0.805,0.135,0,10,BEND5
0,2.5603354843820236,0.78,0.13,0,10,NEFM
0,2.545833657805785,0.816,0.124,0,10,SAMD1
0,2.5456047118461154,0.347,0.031,0,10,NEFH
0,2.53058819195668,0.646,0.119,0,10,CENPF
0,2.522191113064746,0.525,0.04,0,10,SAMD11
0,2.5088573702413264,0.903,0.134,0,10,SERPINE2
0,2.4979241272494614,0.566,0.044,0,10,NECTIN1
0,2.493507285129376,0.424,0.044,0,10,AC008969.1
0,2.4915807705031243,0.292,0.021,0,10,REEP6
0,2.487115711507175,0.673,0.078,0,10,ONECUT2
0,2.4861530203134388,0.615,0.059,0,10,LRRC24
0,2.4837510577788255,0.338,0.024,0,10,P2RX3
0,2.4601445906784845,0.345,0.024,0,10,MELTF
0,2.4432253996098314,0.249,0.02,0,10,LINC01128
0,2.4393367974465963,0.509,0.064,0,10,LINC01694
0,2.429179486497018,0.484,0.051,0,10,CITED4
0,2.4231482005345217,0.304,0.029,0,10,SAP30-DT
0,2.4178952081160414,0.722,0.101,0,10,MAPK8IP2
0,2.396374662326236,0.515,0.096,0,10,ENDOG
0,2.385737393543507,0.358,0.04,0,10,TRIP13
0,2.3772589374995188,0.504,0.057,0,10,MANEAL
0,2.3459018181076647,0.442,0.035,0,10,PLCXD3
0,2.3452645555169713,0.487,0.047,0,10,MAPK12
0,2.337866085829978,0.544,0.054,0,10,KIF26A
0,2.3322896201777015,0.43,0.039,0,10,PLCB3
0,2.32906518597769,0.941,0.239,0,10,PRPH
0,2.32462812057363,0.23,0.012,0,10,ELFN1
0,2.310282817528488,0.217,0.014,0,10,SPRN
