IMR5	SHEP	SKNAS	SY5Y
ENSG00000270035.1	8	0	6	22
ENSG00000269978.1	7	2	0	7
ENSG00000049245.11	1727	1879	1760	1336
ENSG00000269925.1	22	30	24	38
ENSG00000049246.13	464	464	523	714
ENSG00000236266.1	11	14	3	9
ENSG00000049247.12	4	5	2	5
ENSG00000049249.7	12	1763	123	10
ENSG00000270330.1	0	0	0	0
ENSG00000116288.11	1550	1414	1286	1490
ENSG00000200344.1	4	4	2	1
ENSG00000116285.11	1401	935	1677	615
ENSG00000238290.1	8	8	6	8
ENSG00000232848.1	1	0	4	0
ENSG00000229305.1	0	0	0	0
ENSG00000200975.1	0	0	0	0
ENSG00000227634.1	0	0	0	0
ENSG00000233645.1	0	0	2	0
ENSG00000251977.1	0	0	0	0
ENSG00000162426.13	54	29	28	52
ENSG00000252254.1	1	0	0	0
ENSG00000142599.16	3316	1937	2612	3034
ENSG00000232912.4	21	10	16	27
ENSG00000221083.1	32	6	0	27
ENSG00000270282.1	23	0	4	16
ENSG00000280851.1	1	1	1	0
ENSG00000234619.1	23	2	22	19
ENSG00000224315.2	32	10	8	25
ENSG00000222511.2	1	1	0	3
ENSG00000226545.1	30	11	5	28
ENSG00000228423.2	50	14	19	67
ENSG00000229716.2	0	0	0	0
ENSG00000074800.12	4084	3612	3650	3775
ENSG00000280816.1	46	23	19	23
ENSG00000274258.1	2	0	3	6
ENSG00000236269.1	88	37	29	53
ENSG00000230679.1	21	2	7	11
ENSG00000201725.1	0	0	0	0
ENSG00000238249.2	5	3	4	1
ENSG00000232208.2	2	0	2	0
ENSG00000232663.2	0	0	0	0
ENSG00000131686.13	1	0	0	3
ENSG00000265141.2	0	0	0	0
ENSG00000197241.3	0	0	0	1
ENSG00000142583.16	295	118	203	182
ENSG00000252404.1	0	0	0	0
ENSG00000281506.1	0	0	0	0
ENSG00000180758.11	275	551	294	490
ENSG00000207865.1	4	4	2	0
ENSG00000228526.2	13	8	28	12
ENSG00000234546.2	19	9	33	4
ENSG00000049239.11	2384	3149	3647	1525
ENSG00000171621.12	237	1127	587	128
ENSG00000252956.1	0	0	0	0
ENSG00000235263.1	0	4	2	2
ENSG00000171612.6	1308	574	411	1131
ENSG00000231181.1	34	6	13	21
ENSG00000188807.11	1736	1131	1087	1188
ENSG00000171608.14	650	1471	673	148
ENSG00000179840.5	6	0	2	6
ENSG00000233268.3	0	0	0	0
ENSG00000231789.2	68	67	27	29
ENSG00000171603.15	3015	3644	2886	2444
ENSG00000271264.1	3	0	0	4
ENSG00000280113.1	0	0	0	0
ENSG00000178585.13	926	774	710	762
ENSG00000223989.1	0	0	0	0
ENSG00000162441.10	1066	727	570	805
ENSG00000228150.1	47	16	26	33
ENSG00000173614.12	557	325	315	504
ENSG00000202415.1	11	10	24	13
ENSG00000265521.1	2	0	2	3
ENSG00000241326.1	0	0	0	0
ENSG00000162444.11	11	10	6	14
ENSG00000130939.17	2892	2074	1847	2333
ENSG00000224340.1	2	0	2	3
ENSG00000233623.2	28	4	17	9
ENSG00000201746.1	2	0	0	3
ENSG00000054523.15	5035	3010	3913	4652
ENSG00000264881.1	0	0	0	4
ENSG00000199562.1	73	11	5	64
ENSG00000264501.2	0	0	0	0
ENSG00000142657.19	2960	2787	2319	2586
ENSG00000271989.1	2	0	1	0
ENSG00000251503.6	31	5	2	24
ENSG00000175279.20	179	117	80	134
ENSG00000241563.3	51	21	11	42
ENSG00000160049.10	4491	2773	2091	3687
ENSG00000203469.2	0	0	0	0
ENSG00000142655.11	1166	840	663	936
ENSG00000243267.3	1	1	5	1
ENSG00000130940.13	826	313	452	1040
ENSG00000272078.1	38	12	29	38
ENSG00000225158.2	3	0	0	2
ENSG00000175262.13	31	17	27	110
ENSG00000215785.2	0	0	0	0
ENSG00000264181.1	0	0	0	1
ENSG00000281322.1	0	1	0	0
ENSG00000120948.14	2051	1570	1783	1807
ENSG00000277726.3	0	0	0	0
ENSG00000009724.15	88	40	72	80
ENSG00000271895.2	89	26	56	61
ENSG00000116649.8	1863	1699	1671	1702
ENSG00000171824.12	1850	1692	1845	1642
ENSG00000226849.1	19	7	15	9
ENSG00000281350.1	25	7	12	16
ENSG00000230337.1	22	11	25	22
ENSG00000198793.11	3805	2277	3758	2986
ENSG00000225602.4	8	4	14	7
ENSG00000253086.1	2	1	1	0
ENSG00000171819.4	63	16	56	39
ENSG00000207451.1	0	0	0	2
ENSG00000238173.1	4	0	3	0
ENSG00000120942.12	1313	1061	1293	1099
ENSG00000238199.1	6	2	3	4
ENSG00000224338.2	0	0	0	0
ENSG00000204624.7	60	20	12	54
ENSG00000235643.1	4	0	0	8
ENSG00000116661.9	34	27	36	50
ENSG00000132879.12	665	448	378	535
ENSG00000116663.9	145	189	107	155
ENSG00000116670.13	1457	884	1062	1230
ENSG00000162490.6	1481	55	183	889
ENSG00000177674.14	1025	870	961	826
ENSG00000215910.6	5	0	2	0
ENSG00000177553.6	0	0	0	0
ENSG00000177000.9	933	634	881	873
ENSG00000011021.20	1117	510	1243	840
ENSG00000242349.4	59	8	22	59
ENSG00000276470.1	0	0	0	0
ENSG00000278852.1	0	0	0	0
ENSG00000175206.9	15	4	14	20
ENSG00000275915.1	0	0	0	0
ENSG00000120937.8	4	4	19	0
ENSG00000224904.1	0	0	0	0
ENSG00000199347.1	15	2	6	2
ENSG00000201801.1	12	1	7	9
ENSG00000116685.14	2191	2064	2179	1695
ENSG00000083444.15	4334	3812	4445	2658
ENSG00000116688.15	3482	3013	3631	3352
ENSG00000270914.1	2	0	0	3
ENSG00000116691.9	1368	758	827	1151
ENSG00000202461.1	4	3	4	6
