T.cells	NK.cells	B.cells	Plasma.cells	Myeloid.cells	Endothelial.cells	Fibroblasts	Schwann.Cell.Precursors	Cluster.1	Cluster.13	Cluster.14	Cluster.15	Cluster.16	Cluster.17	Cluster.18	Cluster.2	Cluster.21	Cluster.3	Cluster.4	Cluster.6	Cluster.8	Cluster.9
SJNBL031598_D1	3.82289486951393e-19	4.38179029793378e-20	-8.61243461264164e-20	6.37821623406537e-21	0.00258880740676475	0.0648407389321916	0.0288340561334175	0.031368180029502	1.84172677299716e-18	0.136374947130413	0.000934720057643071	6.54712973648748e-18	0.194080384145365	0.190246828361832	0.249336080925041	4.66255536682229e-18	0.00365531325307654	0.0977399436247531	-1.70223412868425e-18	3.75736867765402e-18	-1.95915833575238e-18	-2.65252851134479e-19
SJNBL031668_D1	0.0985375729968836	-9.94858673658181e-21	0.23374582199002	1.37435638608591e-06	0.0200202023531655	0.135911481989997	-3.74570812378324e-20	0.0420826311782637	5.83877892074558e-19	0.000214135970802145	0.000219692123427412	-1.37533592218673e-18	0.288389818913141	0.0468541579324556	0.00740512058328808	1.02371209053797e-17	0.12661798961217	3.03158949671036e-18	8.29502790785445e-18	9.07153287952019e-19	4.86083427939679e-18	1.98593417842539e-19
SJNBL031668_D2	0.000592877534883077	0.000353088129201292	1.09865244919403e-05	1.86956067629396e-22	0.0347466933313097	0.0959162553530695	0.0972160272756085	0.12722229410232	1.73070842172364e-18	0.0654741560059589	0.00088246205758092	0.0171061390822193	0.29805408408254	0.0345859581046255	0.227838978416192	-6.80335469613482e-18	3.95936802243543e-19	-6.64349636771243e-19	1.44044417946872e-18	3.13740395042082e-18	1.78369816898892e-19	-1.25478875694109e-19
SJNBL031802_D1	0.0191073992007383	0.000165626867829485	3.37692311110463e-06	3.24635818635262e-20	0.0474217162651344	0.193239379011954	0.187997305823308	0.337941080112463	4.80215591697139e-18	0.000514865427792213	0.000726996296833566	-2.24318878671375e-18	0.165467475636894	-3.5605526256501e-19	0.0474147784339424	5.4242527099269e-18	-1.10212671066281e-18	1.75127192999927e-18	-1.20342480951348e-17	-2.00677478523208e-18	2.6956390685992e-17	-3.52799189315451e-18
SJNBL031802_D2	0.00459688387136039	2.13670704518727e-19	0.00588067032134836	-1.20856810229613e-20	1.84169745854481e-20	0.0326816075262686	0.0029317404992649	0.0157248063182516	-9.81997171828982e-18	0.0704030744412991	0.000620395021312649	-3.05433378995861e-19	0.286201247794925	0.236459080439463	0.202883515146609	1.2711685049157e-17	0.0557643706945218	0.0858526079253749	1.33420422927941e-18	8.82877527782147e-18	5.00451187288945e-18	1.12929094489147e-18
SJNBL031886_D1	0.0253865776737933	-2.35018438679008e-20	0.00116013418591588	-8.43199239257437e-20	0.00447578448294076	0.0580293468780586	0.0306113567894588	0.0428508833896582	1.41274426898831e-18	0.128482714913084	0.000952293736177812	6.7198748794746e-19	0.254424779626403	0.174733735528888	0.205036282772022	1.28501543830475e-17	0.00101808626180819	0.0728380237617909	5.9509280968129e-18	1.03424241754677e-17	4.77091417114825e-19	-2.10148547525133e-18
SJNBL031899_D1	0.00432339870995182	-1.22196833694814e-20	0.00109941514933686	-2.65709559980124e-21	-6.95471629482095e-21	0.0587708751983182	0.0381022768467815	0.0890384300928907	-1.72462571626314e-17	0.0875886695684416	0.000795836156698902	0.000708504424460064	0.184221090361502	0.0707857378815356	0.398154871426277	-9.51572944725327e-18	0.000337487156112078	0.0660734070276942	1.04798482430931e-17	3.23189422256281e-19	-1.31948185080676e-18	2.55736930348374e-19
SJNBL031947_D1	4.24293844872211e-19	3.78269906181379e-20	3.37690427348302e-19	-4.42235781182546e-20	9.63705997883789e-21	0.0970902338387945	0.0588212688868872	0.0468490603729452	-1.31994732068695e-17	0.101802590813672	0.00074475598118776	0.000763488902838549	0.286130561921881	0.0928124745279907	0.314693924755207	-1.19882898274222e-18	0.000223285178886571	6.835481971022e-05	1.10187385468955e-18	2.97248657455476e-19	-9.79456185769839e-19	-1.21133900521252e-19
SJNBL031995_D1	4.76326687323066e-05	-1.55539334371174e-19	6.48385162694975e-05	3.55035891621746e-21	0.0108815852480807	0.0967979173858466	0.13838130862773	0.524558014490814	-3.17331344385651e-17	0.00191761003687359	0.000907222308055655	6.02759624453175e-19	0.19969813625473	4.82578825560455e-19	0.0266856886078645	-3.81016980856299e-18	6.00458550024903e-05	1.31622827206268e-19	-7.55946460091189e-18	-9.34323417496192e-19	1.16535783423929e-19	8.58500452089607e-19
SJNBL032008_D1	5.3127329680855e-19	-2.75932438810579e-21	3.63904053412632e-19	-1.35409011942526e-21	1.96173748412583e-19	0.0788252865725832	0.0866405999798867	0.0440923764101752	-1.73802192593917e-17	0.13332289198887	0.000929582413602044	8.71089345558487e-05	0.276889448296691	0.0726112495715048	0.294638983990182	-1.06959506647081e-17	0.0118261147886365	0.00013635705331236	5.69507426264634e-18	-3.41655935434329e-18	1.27892963282538e-18	9.42649474876235e-19
SJNBL032063_D1	4.54024960445401e-19	-9.94358560250112e-20	2.29874680737545e-19	-1.10665650493899e-21	-1.49723040178776e-19	0.0494758112032304	0.052979611574959	0.0359520122403456	-7.18404443388849e-18	0.118201585772387	0.000759779963655572	0.00024889066024044	0.189202129531157	0.0901724175533624	0.417086355005643	2.96999055490976e-19	0.000376181967949411	0.0455452245270699	1.89461987563795e-18	-3.25438243927629e-18	1.28314117767127e-18	1.68484854066379e-18
