Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR10215672_1_val_1	(20, 16382.0)	(22, 21099.0)	(24, 31241.0)	(26, 106938.0)	(28, 103249.0)	(30, 108881.0)	(32, 117213.0)	(34, 211101.0)	(36, 400000.0)	(38, 621681.0)	(40, 1163058.0)	(42, 1112868.0)	(44, 917834.0)	(46, 730416.0)	(48, 652019.0)	(50, 939141.0)	(52, 1038684.0)	(54, 813848.0)	(56, 646026.0)	(58, 558899.0)	(60, 635119.0)	(62, 756096.0)	(64, 700215.0)	(66, 613949.0)	(68, 490180.0)	(70, 498717.0)	(72, 598430.0)	(74, 578610.0)	(76, 459943.0)	(78, 419002.0)	(80, 434769.0)	(82, 502774.0)	(84, 513706.0)	(86, 476797.0)	(88, 442507.0)	(90, 466668.0)	(92, 520850.0)	(94, 603020.0)	(96, 1161329.0)	(98, 7722790.0)	(100, 15273574.0)
SRR10215672_2_val_2	(20, 34222.0)	(22, 34314.0)	(24, 39189.0)	(26, 107311.0)	(28, 107683.0)	(30, 114244.0)	(32, 117142.0)	(34, 209816.0)	(36, 402066.0)	(38, 621043.0)	(40, 1165640.0)	(42, 1101436.0)	(44, 901801.0)	(46, 726901.0)	(48, 646046.0)	(50, 922442.0)	(52, 1021273.0)	(54, 799525.0)	(56, 633690.0)	(58, 544632.0)	(60, 620981.0)	(62, 738764.0)	(64, 688389.0)	(66, 592879.0)	(68, 472725.0)	(70, 485798.0)	(72, 581798.0)	(74, 560398.0)	(76, 486626.0)	(78, 431084.0)	(80, 443428.0)	(82, 509730.0)	(84, 518150.0)	(86, 477036.0)	(88, 430096.0)	(90, 441957.0)	(92, 484747.0)	(94, 567127.0)	(96, 1097431.0)	(98, 7618899.0)	(100, 15681164.0)
SRR10215673_1_val_1	(20, 16622.0)	(22, 21334.0)	(24, 31167.0)	(26, 105186.0)	(28, 101688.0)	(30, 108820.0)	(32, 116886.0)	(34, 205942.0)	(36, 383286.0)	(38, 591255.0)	(40, 1093268.0)	(42, 1088160.0)	(44, 878324.0)	(46, 711711.0)	(48, 632035.0)	(50, 931620.0)	(52, 1038064.0)	(54, 781279.0)	(56, 634977.0)	(58, 551565.0)	(60, 639217.0)	(62, 757318.0)	(64, 685150.0)	(66, 599580.0)	(68, 493802.0)	(70, 506375.0)	(72, 606863.0)	(74, 585023.0)	(76, 467745.0)	(78, 428553.0)	(80, 441675.0)	(82, 500994.0)	(84, 504247.0)	(86, 468310.0)	(88, 438928.0)	(90, 464291.0)	(92, 519292.0)	(94, 601750.0)	(96, 1157076.0)	(98, 7664340.0)	(100, 15154833.0)
SRR10215673_2_val_2	(20, 35169.0)	(22, 34821.0)	(24, 39393.0)	(26, 105888.0)	(28, 105838.0)	(30, 113637.0)	(32, 116132.0)	(34, 204204.0)	(36, 385818.0)	(38, 590668.0)	(40, 1094717.0)	(42, 1076795.0)	(44, 861327.0)	(46, 707241.0)	(48, 625943.0)	(50, 914005.0)	(52, 1019512.0)	(54, 766256.0)	(56, 621835.0)	(58, 535895.0)	(60, 624391.0)	(62, 740038.0)	(64, 672089.0)	(66, 578797.0)	(68, 477748.0)	(70, 493699.0)	(72, 590928.0)	(74, 567847.0)	(76, 497186.0)	(78, 442249.0)	(80, 450770.0)	(82, 508030.0)	(84, 508620.0)	(86, 467870.0)	(88, 425577.0)	(90, 438410.0)	(92, 482161.0)	(94, 562384.0)	(96, 1087541.0)	(98, 7575008.0)	(100, 15562114.0)
SRR10215674_1_val_1	(20, 12853.0)	(22, 18976.0)	(24, 42513.0)	(26, 173068.0)	(28, 108959.0)	(30, 113095.0)	(32, 155994.0)	(34, 370520.0)	(36, 794847.0)	(38, 1055586.0)	(40, 1816957.0)	(42, 1892493.0)	(44, 1721753.0)	(46, 1486936.0)	(48, 1364410.0)	(50, 1911685.0)	(52, 1945285.0)	(54, 1556544.0)	(56, 1335018.0)	(58, 1169081.0)	(60, 1295028.0)	(62, 1403260.0)	(64, 1373154.0)	(66, 1348192.0)	(68, 1091560.0)	(70, 1132720.0)	(72, 1253479.0)	(74, 1173184.0)	(76, 1032975.0)	(78, 957426.0)	(80, 1010756.0)	(82, 1030666.0)	(84, 958109.0)	(86, 899770.0)	(88, 843495.0)	(90, 887820.0)	(92, 961435.0)	(94, 1075953.0)	(96, 1763909.0)	(98, 10303530.0)	(100, 21264650.0)
SRR10215674_2_val_2	(20, 70944.0)	(22, 72092.0)	(24, 88226.0)	(26, 215857.0)	(28, 157501.0)	(30, 169694.0)	(32, 212198.0)	(34, 428734.0)	(36, 850025.0)	(38, 1111808.0)	(40, 1869214.0)	(42, 1941219.0)	(44, 1771968.0)	(46, 1535782.0)	(48, 1414399.0)	(50, 1921711.0)	(52, 1945904.0)	(54, 1572176.0)	(56, 1355317.0)	(58, 1191945.0)	(60, 1315089.0)	(62, 1423808.0)	(64, 1395114.0)	(66, 1369922.0)	(68, 1110422.0)	(70, 1151788.0)	(72, 1272773.0)	(74, 1191446.0)	(76, 1088541.0)	(78, 995008.0)	(80, 1040865.0)	(82, 1057993.0)	(84, 980892.0)	(86, 912427.0)	(88, 847233.0)	(90, 883755.0)	(92, 931233.0)	(94, 1006758.0)	(96, 1681147.0)	(98, 10005343.0)	(100, 20549373.0)
SRR10215675_1_val_1	(20, 39429.0)	(22, 49864.0)	(24, 88363.0)	(26, 326791.0)	(28, 199563.0)	(30, 221853.0)	(32, 282757.0)	(34, 583860.0)	(36, 1187320.0)	(38, 1581520.0)	(40, 2807640.0)	(42, 2879437.0)	(44, 2521216.0)	(46, 2136549.0)	(48, 1945976.0)	(50, 2815876.0)	(52, 2884539.0)	(54, 2189091.0)	(56, 1869995.0)	(58, 1632628.0)	(60, 1831071.0)	(62, 2000156.0)	(64, 1905828.0)	(66, 1884760.0)	(68, 1473804.0)	(70, 1527404.0)	(72, 1702685.0)	(74, 1597127.0)	(76, 1334982.0)	(78, 1250661.0)	(80, 1330237.0)	(82, 1382011.0)	(84, 1299002.0)	(86, 1228594.0)	(88, 1172272.0)	(90, 1266159.0)	(92, 1356673.0)	(94, 1483040.0)	(96, 2576568.0)	(98, 14098026.0)	(100, 27177416.0)
SRR10215675_2_val_2	(20, 95355.0)	(22, 97932.0)	(24, 126126.0)	(26, 338751.0)	(28, 232193.0)	(30, 257493.0)	(32, 304693.0)	(34, 605545.0)	(36, 1217878.0)	(38, 1593897.0)	(40, 2823890.0)	(42, 2871682.0)	(44, 2501852.0)	(46, 2135394.0)	(48, 1948634.0)	(50, 2775622.0)	(52, 2834013.0)	(54, 2161466.0)	(56, 1843488.0)	(58, 1603073.0)	(60, 1799671.0)	(62, 1956502.0)	(64, 1876223.0)	(66, 1848938.0)	(68, 1439471.0)	(70, 1501822.0)	(72, 1665432.0)	(74, 1555794.0)	(76, 1424225.0)	(78, 1294005.0)	(80, 1362596.0)	(82, 1403948.0)	(84, 1309191.0)	(86, 1226905.0)	(88, 1131237.0)	(90, 1188467.0)	(92, 1249727.0)	(94, 1350528.0)	(96, 2301715.0)	(98, 13680413.0)	(100, 28186956.0)
SRR10215676_1_val_1	(20, 1255.0)	(21, 2742.0)	(22, 1440.0)	(23, 6735.0)	(24, 11068.0)	(25, 40700.0)	(26, 64075.0)	(27, 34904.0)	(28, 29641.0)	(29, 30628.0)	(30, 30083.0)	(31, 37492.0)	(32, 47841.0)	(33, 86961.0)	(34, 162070.0)	(35, 308777.0)	(36, 457123.0)	(37, 638068.0)	(38, 1307703.0)	(39, 2751409.0)	(40, 5466054.0)	(41, 6454617.0)	(42, 24759533.0)																		
SRR10215676_2_val_2	(20, 3989.0)	(21, 5460.0)	(22, 3952.0)	(23, 8921.0)	(24, 12767.0)	(25, 40173.0)	(26, 65943.0)	(27, 36163.0)	(28, 31873.0)	(29, 33399.0)	(30, 33638.0)	(31, 42285.0)	(32, 52807.0)	(33, 93033.0)	(34, 169927.0)	(35, 315633.0)	(36, 473939.0)	(37, 668518.0)	(38, 1353687.0)	(39, 2817795.0)	(40, 5522613.0)	(41, 6588649.0)	(42, 24355755.0)																		
