Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
SRR10215675_1_val_1	(16.0, 1.0)	(17.0, 5.0)	(18.0, 42.0)	(19.0, 163.0)	(20.0, 953.0)	(21.0, 4857.0)	(22.0, 21152.0)	(23.0, 72429.0)	(24.0, 194610.0)	(25.0, 426920.0)	(26.0, 785385.0)	(27.0, 1261454.0)	(28.0, 1821522.0)	(29.0, 2436371.0)	(30.0, 3090079.0)	(31.0, 3792413.0)	(32.0, 4595294.0)	(33.0, 5597815.0)	(34.0, 6927699.0)	(35.0, 8739061.0)	(36.0, 11562822.0)	(37.0, 16062221.0)	(38.0, 18756201.0)	(39.0, 12483251.0)	(40.0, 490023.0)								
SRR10215675_2_val_2	(13.0, 4.0)	(14.0, 34.0)	(15.0, 114.0)	(16.0, 311.0)	(17.0, 1028.0)	(18.0, 3612.0)	(19.0, 14854.0)	(20.0, 90506.0)	(21.0, 229630.0)	(22.0, 420188.0)	(23.0, 632890.0)	(24.0, 852742.0)	(25.0, 1072756.0)	(26.0, 1297122.0)	(27.0, 1534853.0)	(28.0, 1802749.0)	(29.0, 2124791.0)	(30.0, 2544281.0)	(31.0, 3093272.0)	(32.0, 3830550.0)	(33.0, 4822636.0)	(34.0, 6228775.0)	(35.0, 8188837.0)	(36.0, 11285182.0)	(37.0, 16131193.0)	(38.0, 19275120.0)	(39.0, 13268528.0)	(40.0, 376185.0)					
SRR10215676_1_val_1	(17.0, 3.0)	(18.0, 22.0)	(19.0, 142.0)	(20.0, 710.0)	(21.0, 2590.0)	(22.0, 7239.0)	(23.0, 17369.0)	(24.0, 36795.0)	(25.0, 74124.0)	(26.0, 139257.0)	(27.0, 245448.0)	(28.0, 400294.0)	(29.0, 605420.0)	(30.0, 859865.0)	(31.0, 1206549.0)	(32.0, 1726514.0)	(33.0, 2813883.0)	(34.0, 7510741.0)	(35.0, 27083954.0)														
SRR10215676_2_val_2	(14.0, 96.0)	(15.0, 589.0)	(16.0, 1780.0)	(17.0, 3763.0)	(18.0, 6965.0)	(19.0, 12728.0)	(20.0, 23609.0)	(21.0, 41818.0)	(22.0, 69784.0)	(23.0, 109841.0)	(24.0, 163648.0)	(25.0, 235397.0)	(26.0, 327094.0)	(27.0, 441780.0)	(28.0, 582290.0)	(29.0, 757469.0)	(30.0, 979193.0)	(31.0, 1293759.0)	(32.0, 1821629.0)	(33.0, 2941758.0)	(34.0, 7662927.0)	(35.0, 25253002.0)											
SRR10215677_1_val_1	(17.0, 2.0)	(18.0, 11.0)	(19.0, 120.0)	(20.0, 495.0)	(21.0, 1928.0)	(22.0, 5771.0)	(23.0, 15154.0)	(24.0, 34476.0)	(25.0, 74750.0)	(26.0, 146538.0)	(27.0, 262180.0)	(28.0, 429929.0)	(29.0, 646373.0)	(30.0, 912854.0)	(31.0, 1263107.0)	(32.0, 1763540.0)	(33.0, 2788769.0)	(34.0, 7321090.0)	(35.0, 29536635.0)														
SRR10215677_2_val_2	(14.0, 59.0)	(15.0, 456.0)	(16.0, 1463.0)	(17.0, 3255.0)	(18.0, 6365.0)	(19.0, 11627.0)	(20.0, 22666.0)	(21.0, 42695.0)	(22.0, 73332.0)	(23.0, 120511.0)	(24.0, 186408.0)	(25.0, 273033.0)	(26.0, 384355.0)	(27.0, 519752.0)	(28.0, 684887.0)	(29.0, 889145.0)	(30.0, 1146011.0)	(31.0, 1515581.0)	(32.0, 2142715.0)	(33.0, 3515940.0)	(34.0, 8869660.0)	(35.0, 24793806.0)											
SRR10215678_1_val_1	(17.0, 1.0)	(18.0, 6.0)	(19.0, 51.0)	(20.0, 215.0)	(21.0, 936.0)	(22.0, 3427.0)	(23.0, 11000.0)	(24.0, 26960.0)	(25.0, 56519.0)	(26.0, 102783.0)	(27.0, 166270.0)	(28.0, 246740.0)	(29.0, 344787.0)	(30.0, 462723.0)	(31.0, 611533.0)	(32.0, 810770.0)	(33.0, 1115970.0)	(34.0, 1676115.0)	(35.0, 2618925.0)	(36.0, 4710992.0)	(37.0, 9649361.0)	(38.0, 14823753.0)	(39.0, 12502231.0)	(40.0, 767171.0)									
SRR10215678_2_val_2	(8.0, 1.0)	(9.0, 0.0)	(10.0, 14.0)	(11.0, 52.0)	(12.0, 77.0)	(13.0, 103.0)	(14.0, 176.0)	(15.0, 259.0)	(16.0, 388.0)	(17.0, 562.0)	(18.0, 913.0)	(19.0, 2230.0)	(20.0, 8276.0)	(21.0, 18033.0)	(22.0, 30721.0)	(23.0, 45465.0)	(24.0, 62666.0)	(25.0, 83877.0)	(26.0, 108082.0)	(27.0, 137437.0)	(28.0, 174346.0)	(29.0, 223402.0)	(30.0, 293745.0)	(31.0, 394475.0)	(32.0, 544979.0)	(33.0, 786429.0)	(34.0, 1254220.0)	(35.0, 2011111.0)	(36.0, 3762510.0)	(37.0, 8361813.0)	(38.0, 15188513.0)	(39.0, 16390119.0)	(40.0, 824245.0)
SRR10215679_1_val_1	(17.0, 1.0)	(18.0, 5.0)	(19.0, 19.0)	(20.0, 86.0)	(21.0, 352.0)	(22.0, 1317.0)	(23.0, 3962.0)	(24.0, 10304.0)	(25.0, 21714.0)	(26.0, 40841.0)	(27.0, 67834.0)	(28.0, 103229.0)	(29.0, 148801.0)	(30.0, 206031.0)	(31.0, 277002.0)	(32.0, 372734.0)	(33.0, 518375.0)	(34.0, 789724.0)	(35.0, 1251286.0)	(36.0, 2272661.0)	(37.0, 4929937.0)	(38.0, 8600079.0)	(39.0, 8741350.0)	(40.0, 740067.0)									
SRR10215679_2_val_2	(8.0, 1.0)	(9.0, 4.0)	(10.0, 11.0)	(11.0, 31.0)	(12.0, 53.0)	(13.0, 62.0)	(14.0, 139.0)	(15.0, 154.0)	(16.0, 273.0)	(17.0, 457.0)	(18.0, 862.0)	(19.0, 2316.0)	(20.0, 9149.0)	(21.0, 18830.0)	(22.0, 31037.0)	(23.0, 44166.0)	(24.0, 58775.0)	(25.0, 74465.0)	(26.0, 92731.0)	(27.0, 112122.0)	(28.0, 136089.0)	(29.0, 166588.0)	(30.0, 210189.0)	(31.0, 271561.0)	(32.0, 358511.0)	(33.0, 494926.0)	(34.0, 749682.0)	(35.0, 1156102.0)	(36.0, 2069662.0)	(37.0, 4469309.0)	(38.0, 8264916.0)	(39.0, 9801380.0)	(40.0, 503158.0)
