Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10215673_1_val_1	(1.0, 36.223141521651726)	(2.0, 9.82665742067647)	(3.0, 2.3139716629053892)	(4.0, 0.8943973445025578)	(5.0, 0.5549184061869413)	(6.0, 0.44745706875447555)	(7.0, 0.4002638278362968)	(8.0, 0.36116633921688573)	(9.0, 0.34446114140643863)	('>10', 6.8286914070674225)	('>50', 3.570250565927133)	('>100', 9.95373497266977)	('>500', 7.135133409326906)	('>1k', 18.76188113869178)	('>5k', 2.195930161505105)	('>10k+', 0.187943611674669)
SRR10215673_2_val_2	(1.0, 37.16128692732892)	(2.0, 9.82149182136022)	(3.0, 2.303503085919632)	(4.0, 0.862878873266135)	(5.0, 0.5625282715241492)	(6.0, 0.47025182310833646)	(7.0, 0.3875492611304013)	(8.0, 0.3775106284749702)	(9.0, 0.35526801770609423)	('>10', 6.989790718582372)	('>50', 3.5587022661419927)	('>100', 9.965562022065894)	('>500', 7.168430863626242)	('>1k', 18.207679541459072)	('>5k', 1.7218604794726138)	('>10k+', 0.0857053988327835)
SRR10215674_1_val_1	(1.0, 35.67074674599283)	(2.0, 3.3790160498517943)	(3.0, 0.9780700802622685)	(4.0, 0.6921518746552219)	(5.0, 0.5590694038914127)	(6.0, 0.497578626166116)	(7.0, 0.42613372949777406)	(8.0, 0.39470879922525554)	(9.0, 0.3571588668836462)	('>10', 7.678767099322166)	('>50', 4.978502656042214)	('>100', 14.122296409313535)	('>500', 6.884677075856546)	('>1k', 17.875322346178315)	('>5k', 4.484590131546187)	('>10k+', 1.0212101053147138)
SRR10215674_2_val_2	(1.0, 36.03024795105091)	(2.0, 3.226994753365909)	(3.0, 0.958212518005477)	(4.0, 0.705264540670142)	(5.0, 0.5963779787876688)	(6.0, 0.5108923452279893)	(7.0, 0.42829638260410235)	(8.0, 0.38521266747121297)	(9.0, 0.37182544854080485)	('>10', 7.815219272733826)	('>50', 5.0045059463545645)	('>100', 14.329649405279573)	('>500', 6.847928170389479)	('>1k', 17.665112365429238)	('>5k', 4.284229102874247)	('>10k+', 0.8400311512148904)
SRR10215675_1_val_1	(1.0, 34.6489948749667)	(2.0, 3.820312212161566)	(3.0, 0.9464794437652722)	(4.0, 0.6444899667337691)	(5.0, 0.5120103601154775)	(6.0, 0.4564326393714644)	(7.0, 0.37658215118596594)	(8.0, 0.3359726531787341)	(9.0, 0.327111046442629)	('>10', 6.560149752172906)	('>50', 4.4280323879254295)	('>100', 13.71343059546684)	('>500', 6.596075310791331)	('>1k', 17.889668313470775)	('>5k', 6.328580091931609)	('>10k+', 2.4156782003193844)
SRR10215675_2_val_2	(1.0, 35.54566904139011)	(2.0, 3.693253660211017)	(3.0, 0.9801259959961099)	(4.0, 0.6456953466330424)	(5.0, 0.5351230365752051)	(6.0, 0.45351261793222947)	(7.0, 0.4009225538720936)	(8.0, 0.3712745897606079)	(9.0, 0.2978328460400258)	('>10', 6.735897733005188)	('>50', 4.445515901436839)	('>100', 13.832071390721964)	('>500', 6.623603096614169)	('>1k', 17.601584537921035)	('>5k', 5.933354471963286)	('>10k+', 1.9045631799269398)
SRR10215676_1_val_1	(1.0, 27.866507705148496)	(2.0, 3.7746237279923025)	(3.0, 1.215482414405676)	(4.0, 0.6586293181015275)	(5.0, 0.4247620388640191)	(6.0, 0.2916286583640752)	(7.0, 0.2021829547245061)	(8.0, 0.18069771717366032)	(9.0, 0.15310532473281985)	('>10', 2.3460514621580044)	('>50', 1.7015620747967728)	('>100', 8.662086648858072)	('>500', 8.146413630713724)	('>1k', 30.840012515810656)	('>5k', 10.25123282929434)	('>10k+', 3.2850209788613296)
SRR10215676_2_val_2	(1.0, 28.584063411348232)	(2.0, 3.7202981407171367)	(3.0, 1.249227473737185)	(4.0, 0.603055454308335)	(5.0, 0.39198943727710583)	(6.0, 0.2744743163766226)	(7.0, 0.19971298664155207)	(8.0, 0.16034719983577875)	(9.0, 0.11516617646537475)	('>10', 2.352765644912957)	('>50', 1.8062003689037216)	('>100', 9.08895815218635)	('>500', 8.532721046611632)	('>1k', 31.476577817496747)	('>5k', 9.23256106896071)	('>10k+', 2.2118813042204666)
SRR10215677_1_val_1	(1.0, 24.268921322250037)	(2.0, 3.4274949742710232)	(3.0, 1.2807286651376664)	(4.0, 0.7041944225099839)	(5.0, 0.45505523550563926)	(6.0, 0.32567073246794465)	(7.0, 0.2577149425754512)	(8.0, 0.19661201830385558)	(9.0, 0.17453848849380063)	('>10', 2.7586004487807236)	('>50', 2.0310985803432207)	('>100', 10.212017357177967)	('>500', 8.307131416620658)	('>1k', 29.9983373054981)	('>5k', 10.179391833367644)	('>10k+', 5.422492256696291)
SRR10215677_2_val_2	(1.0, 25.125492191381582)	(2.0, 3.4263552148711374)	(3.0, 1.2716259666229779)	(4.0, 0.6553764856167276)	(5.0, 0.45344863281612313)	(6.0, 0.2918584978994805)	(7.0, 0.23983558440585614)	(8.0, 0.1949753647836036)	(9.0, 0.14199130696365214)	('>10', 2.8514875853162835)	('>50', 2.103680568596623)	('>100', 10.698635531958773)	('>500', 8.777640600465036)	('>1k', 30.418520224691164)	('>5k', 9.473894732608994)	('>10k+', 3.8751815110019807)
SRR10215678_1_val_1	(1.0, 43.061394919777044)	(2.0, 4.202849848357702)	(3.0, 0.9154520927592472)	(4.0, 0.5893634392801486)	(5.0, 0.4817029089228166)	(6.0, 0.42110308405874514)	(7.0, 0.39957129515674533)	(8.0, 0.38125698578041683)	(9.0, 0.38992859645102673)	('>10', 8.695995800167882)	('>50', 5.4791176074042545)	('>100', 14.617554626541349)	('>500', 6.991504678512552)	('>1k', 12.31954896720743)	('>5k', 0.9488672796595312)	('>10k+', 0.1047878699632624)
SRR10215678_2_val_2	(1.0, 41.23926277950063)	(2.0, 4.509717297776825)	(3.0, 0.8415466038740114)	(4.0, 0.5187103123387519)	(5.0, 0.4392787096436291)	(6.0, 0.41045685302487306)	(7.0, 0.3298917175821958)	(8.0, 0.34542929156239693)	(9.0, 0.3052207766079732)	('>10', 8.048238155281071)	('>50', 5.299603066462277)	('>100', 14.497764982479344)	('>500', 7.413355089932443)	('>1k', 14.423556536926622)	('>5k', 1.232089720860367)	('>10k+', 0.1458781061465981)
SRR10215679_1_val_1	(1.0, 42.97769859161834)	(2.0, 4.270117039379599)	(3.0, 1.0653167373422225)	(4.0, 0.787717162955861)	(5.0, 0.7041943192506753)	(6.0, 0.5871330864032422)	(7.0, 0.6017020883463523)	(8.0, 0.5447028812856376)	(9.0, 0.5183365239413)	('>10', 11.69579110642843)	('>50', 6.537865177775245)	('>100', 16.52482533028392)	('>500', 6.326044168968855)	('>1k', 6.731352594922741)	('>5k', 0.12720319109740785)	('>10k+', 0.0)
SRR10215679_2_val_2	(1.0, 41.50860473039841)	(2.0, 4.419515408677531)	(3.0, 1.0328622646010104)	(4.0, 0.6997378640562452)	(5.0, 0.6487371651542815)	(6.0, 0.5133096109473083)	(7.0, 0.5420044171560848)	(8.0, 0.5147135719479574)	(9.0, 0.47263379365049263)	('>10', 10.911170906036627)	('>50', 6.373153539898489)	('>100', 16.804607185083892)	('>500', 7.161677231042359)	('>1k', 8.175505032919688)	('>5k', 0.22176727842972876)	('>10k+', 0.0)
SRR10215680_1_val_1	(1.0, 36.97466121179065)	(2.0, 4.222984447004363)	(3.0, 1.5529274220223357)	(4.0, 0.7390640533974723)	(5.0, 0.5069434619847303)	(6.0, 0.347155283363005)	(7.0, 0.3068803932101277)	(8.0, 0.22395361115928547)	(9.0, 0.1770089647929371)	('>10', 2.9896314809411155)	('>50', 1.9982988179371386)	('>100', 10.097871046108061)	('>500', 8.946197311432453)	('>1k', 25.490130921505365)	('>5k', 4.639928679651823)	('>10k+', 0.7863628936991354)
SRR10215680_2_val_2	(1.0, 37.94824202016061)	(2.0, 4.284946372470361)	(3.0, 1.4520689275750465)	(4.0, 0.7468010872487121)	(5.0, 0.5159435712219537)	(6.0, 0.34729190081383365)	(7.0, 0.26517534534680404)	(8.0, 0.21667764380351545)	(9.0, 0.18562528342444146)	('>10', 2.9517347638028006)	('>50', 2.11269960580015)	('>100', 10.681079585369318)	('>500', 9.228842657122875)	('>1k', 25.10079055759783)	('>5k', 3.6326574344128426)	('>10k+', 0.3294232438290164)
SRR10215681_1_val_1	(1.0, 33.89438189255493)	(2.0, 4.186563667603975)	(3.0, 1.3838048949480315)	(4.0, 0.7397914267368564)	(5.0, 0.4419911377132614)	(6.0, 0.3223563197429271)	(7.0, 0.2531767898773087)	(8.0, 0.20895215125968344)	(9.0, 0.16856066491006347)	('>10', 2.566092924291497)	('>50', 1.6432887968104457)	('>100', 8.832433340350395)	('>500', 8.13605583353727)	('>1k', 28.150757056334573)	('>5k', 7.259984287699241)	('>10k+', 1.8118088156295995)
SRR10215681_2_val_2	(1.0, 35.16556462064753)	(2.0, 4.0813735952056)	(3.0, 1.373480658161835)	(4.0, 0.720975151135277)	(5.0, 0.4345617490530534)	(6.0, 0.32029697041944866)	(7.0, 0.2597271196613933)	(8.0, 0.18945473519931835)	(9.0, 0.14668076828118495)	('>10', 2.582569558359991)	('>50', 1.7699459412386451)	('>100', 9.036311841002261)	('>500', 8.423536095469139)	('>1k', 28.226990279938548)	('>5k', 6.17743204031278)	('>10k+', 1.0910988759141016)
SRR10215682_1_val_1	(1.0, 44.125493991459514)	(2.0, 5.137359807232349)	(3.0, 0.9550083492568451)	(4.0, 0.57947719207081)	(5.0, 0.4147374178823892)	(6.0, 0.3940342582864902)	(7.0, 0.34106135199524584)	(8.0, 0.34539783598251594)	(9.0, 0.3079952076452124)	('>10', 7.087455217197918)	('>50', 4.018338814052867)	('>100', 10.72157409844911)	('>500', 6.442070988443177)	('>1k', 16.654126429857897)	('>5k', 2.164610314035036)	('>10k+', 0.3112587261526936)
SRR10215682_2_val_2	(1.0, 44.92823953302604)	(2.0, 5.056328538367887)	(3.0, 0.9725127023478247)	(4.0, 0.5737215544014187)	(5.0, 0.4321890071014621)	(6.0, 0.39451928612014237)	(7.0, 0.36153800621086135)	(8.0, 0.3667475990157276)	(9.0, 0.31928651673389014)	('>10', 7.273419678225249)	('>50', 4.035619205344925)	('>100', 10.891896426442136)	('>500', 6.446045627437225)	('>1k', 16.07164358888565)	('>5k', 1.73304039847273)	('>10k+', 0.14325233186683353)
SRR10215683_1_val_1	(1.0, 45.92881260983709)	(2.0, 5.872323528334252)	(3.0, 0.9905819933750415)	(4.0, 0.5299649065092573)	(5.0, 0.44069965271405126)	(6.0, 0.3946175127844768)	(7.0, 0.3443998223665254)	(8.0, 0.32467456756630336)	(9.0, 0.32345320592299337)	('>10', 6.847988888624224)	('>50', 4.026506602192302)	('>100', 10.74589380719436)	('>500', 6.433039654558313)	('>1k', 15.032096494322897)	('>5k', 1.5994023538252033)	('>10k+', 0.16554439987264338)
SRR10215683_2_val_2	(1.0, 46.582694701639795)	(2.0, 5.722115761526968)	(3.0, 0.992417494355225)	(4.0, 0.550210820789307)	(5.0, 0.4739145462621958)	(6.0, 0.422576793404182)	(7.0, 0.3467522841091075)	(8.0, 0.3471703718177087)	(9.0, 0.28002469617199)	('>10', 7.042958502383757)	('>50', 4.036651682956451)	('>100', 10.746458493612002)	('>500', 6.497236641647949)	('>1k', 14.653461301815327)	('>5k', 1.191514352976545)	('>10k+', 0.11384155453153379)
SRR10215684_1_val_1	(1.0, 48.26361020534516)	(2.0, 5.34036776631028)	(3.0, 1.0185328314813076)	(4.0, 0.5683881857855487)	(5.0, 0.4915545969458943)	(6.0, 0.40775969600039913)	(7.0, 0.3877081236654979)	(8.0, 0.327528661520131)	(9.0, 0.33382532941320986)	('>10', 7.3038891399401065)	('>50', 4.615730463028683)	('>100', 12.521779058202437)	('>500', 5.9669005376021165)	('>1k', 11.19762238188021)	('>5k', 1.0925990805463752)	('>10k+', 0.16220394233241092)
SRR10215684_2_val_2	(1.0, 48.53306188498254)	(2.0, 5.248523548616798)	(3.0, 1.014054425000166)	(4.0, 0.6146597015430433)	(5.0, 0.4810977613591903)	(6.0, 0.45248394331147107)	(7.0, 0.37415483293461543)	(8.0, 0.33680982913498797)	(9.0, 0.3465737923051449)	('>10', 7.294230141097089)	('>50', 4.590932794910621)	('>100', 12.61942027656746)	('>500', 6.113620583649682)	('>1k', 11.132570394485414)	('>5k', 0.7867438400991041)	('>10k+', 0.06106225000255047)
SRR10215685_1_val_1	(1.0, 53.33326714356477)	(2.0, 3.9110261008956413)	(3.0, 0.9657383913747044)	(4.0, 0.6380923331668256)	(5.0, 0.5257024569180523)	(6.0, 0.5065115556875488)	(7.0, 0.4317771187724917)	(8.0, 0.3933009519901947)	(9.0, 0.36775907839416716)	('>10', 8.11525631045599)	('>50', 4.57983076185871)	('>100', 12.007679320523469)	('>500', 5.627258573574238)	('>1k', 8.1887098019991)	('>5k', 0.38272427626131555)	('>10k+', 0.025365824562675925)
SRR10215685_2_val_2	(1.0, 54.041639558571354)	(2.0, 3.784789623660729)	(3.0, 0.9631721960077722)	(4.0, 0.670611241871196)	(5.0, 0.5230783176592714)	(6.0, 0.4896920527450631)	(7.0, 0.4728502777352407)	(8.0, 0.406857621395204)	(9.0, 0.37229280681385674)	('>10', 8.240014667170021)	('>50', 4.684919908309534)	('>100', 12.068190110671361)	('>500', 5.789731284117019)	('>1k', 7.315348658916)	('>5k', 0.17681167435634554)	('>10k+', 0.0)
SRR10215686_1_val_1	(1.0, 80.0355375655201)	(2.0, 6.78124222408491)	(3.0, 1.6333206886099991)	(4.0, 0.7959182961297054)	(5.0, 0.5322304763186727)	(6.0, 0.38948752934638176)	(7.0, 0.31076236129999507)	(8.0, 0.26656397962958295)	(9.0, 0.23814786390394457)	('>10', 3.548666888530947)	('>50', 1.6096426096308056)	('>100', 3.2946639658012518)	('>500', 0.3877671572006528)	('>1k', 0.10627169729841356)	('>5k', 0.03394954493538845)	('>10k+', 0.035827151759311136)
SRR10215686_2_val_2	(1.0, 79.39603462986142)	(2.0, 6.985310427374418)	(3.0, 1.617712261157928)	(4.0, 0.8364272886882999)	(5.0, 0.5586265689746854)	(6.0, 0.42615403457755924)	(7.0, 0.3298505941653639)	(8.0, 0.2748755011101534)	(9.0, 0.22367710642269695)	('>10', 3.4477454876071936)	('>50', 1.555550468640349)	('>100', 3.611234891651907)	('>500', 0.5255256506081585)	('>1k', 0.13301423270609225)	('>5k', 0.0)	('>10k+', 0.07826085645378324)
SRR10215687_1_val_1	(1.0, 77.38790691532003)	(2.0, 7.517755259244985)	(3.0, 1.6938876472382707)	(4.0, 0.8133735918529856)	(5.0, 0.5723337831462074)	(6.0, 0.44497756642658026)	(7.0, 0.33895625623999565)	(8.0, 0.28802495469188716)	(9.0, 0.25477539252004566)	('>10', 4.0436713497521)	('>50', 1.7246557530290738)	('>100', 3.9531054184573873)	('>500', 0.7202864129647445)	('>1k', 0.18370287616093073)	('>5k', 0.0)	('>10k+', 0.06258682295482221)
SRR10215687_2_val_2	(1.0, 76.58138153281678)	(2.0, 7.849849879068839)	(3.0, 1.7579584076477428)	(4.0, 0.8465346266268058)	(5.0, 0.5275913169005532)	(6.0, 0.44281765017465313)	(7.0, 0.35875873330966496)	(8.0, 0.2724573341211297)	(9.0, 0.2550921433309845)	('>10', 3.9963854267601526)	('>50', 1.6948132940009808)	('>100', 4.149979236850003)	('>500', 0.9601694466548294)	('>1k', 0.23535137660764624)	('>5k', 0.0)	('>10k+', 0.07085959512918741)
SRR10215688_1_val_1	(1.0, 54.79270355932857)	(2.0, 13.433490142035753)	(3.0, 2.5821744115505583)	(4.0, 0.7872203977462697)	(5.0, 0.47889090276209195)	(6.0, 0.39346802624069455)	(7.0, 0.350404385714233)	(8.0, 0.3239132401139807)	(9.0, 0.2630929350860391)	('>10', 5.775844928970001)	('>50', 3.1034514109353486)	('>100', 7.989300220624554)	('>500', 3.909591108436346)	('>1k', 5.59273067691597)	('>5k', 0.22372365353964468)	('>10k+', 0.0)
