Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_sequence_quality_scores
SRR4787043_1	pass	0.0	fail	99.3431022643	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	91999285.0	pass	fail	warn	48.0	45.4198783851	SRR4787043_1.fastq	pass
SRR4787043_2	pass	0.0	warn	99.3057186477	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	91999285.0	pass	warn	warn	48.0	50.2573275864	SRR4787043_2.fastq	pass
SRR4787044_1	pass	0.0	fail	99.0608596376	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	78330634.0	pass	fail	warn	50.0	48.1300869268	SRR4787044_1.fastq	pass
SRR4787044_2	pass	0.0	fail	98.9972406709	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	78330634.0	pass	warn	warn	51.0	46.191613252	SRR4787044_2.fastq	pass
SRR4787045_1	pass	0.0	fail	99.2448241884	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	85701728.0	pass	fail	warn	49.0	44.5656439432	SRR4787045_1.fastq	pass
SRR4787045_2	pass	0.0	fail	99.2409588754	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	85701728.0	pass	warn	warn	49.0	48.8659148429	SRR4787045_2.fastq	pass
SRR4787046_1	pass	0.0	fail	99.2805692268	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	91036609.0	pass	fail	warn	49.0	39.6309182983	SRR4787046_1.fastq	pass
SRR4787046_2	pass	0.0	fail	99.2647172084	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	91036609.0	pass	warn	warn	50.0	42.8169027061	SRR4787046_2.fastq	pass
SRR4787047_1	pass	0.0	fail	99.2176933814	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	91354183.0	pass	fail	warn	48.0	45.3257391273	SRR4787047_1.fastq	pass
SRR4787047_2	pass	0.0	fail	99.2038657496	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	91354183.0	pass	warn	pass	49.0	49.3487666169	SRR4787047_2.fastq	pass
SRR4787048_1	pass	0.0	warn	99.0193796026	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	74275104.0	pass	fail	warn	49.0	53.8774510147	SRR4787048_1.fastq	pass
SRR4787048_2	pass	0.0	warn	98.9601204732	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	74275104.0	pass	warn	warn	49.0	51.4373874279	SRR4787048_2.fastq	pass
SRR4787049_1	pass	0.0	warn	99.1116758575	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	92676799.0	pass	fail	warn	47.0	51.6686443478	SRR4787049_1.fastq	pass
SRR4787049_2	pass	0.0	warn	99.103770837	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	92676799.0	pass	warn	warn	47.0	55.701166554	SRR4787049_2.fastq	pass
SRR4787050_1	pass	0.0	warn	99.3310963077	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	79285934.0	pass	fail	warn	47.0	56.7456021179	SRR4787050_1.fastq	pass
SRR4787050_2	pass	0.0	warn	99.301611557	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	79285934.0	pass	fail	warn	47.0	61.4444556132	SRR4787050_2.fastq	pass
SRR4787051_1	pass	0.0	warn	99.2989661487	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	93253454.0	pass	fail	warn	48.0	62.2883226577	SRR4787051_1.fastq	pass
SRR4787051_2	pass	0.0	fail	99.2825383819	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	93253454.0	pass	warn	warn	49.0	46.2694249408	SRR4787051_2.fastq	pass
SRR4787052_1	pass	0.0	warn	99.2330921117	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	63052537.0	pass	warn	warn	48.0	63.8240423628	SRR4787052_1.fastq	pass
SRR4787052_2	pass	0.0	warn	99.2193891897	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	pass	63052537.0	pass	fail	warn	48.0	67.9865020922	SRR4787052_2.fastq	pass
